time	date	block	treatment	datapoint	type	Cb	Cd	Ci	Ee	Pg	Pp	ACHMIL	AGREUP	ANTODO	ARRELA	BROERE	BROMOL	BROSTE	CARCAR	CENJAC	CONARV	CREPIS	CRULAE	DACGLO	DAUCAR	ELYREP	ERYNGE	FALVUL	FESARU	FESRUB	FRAEXE	GALAPA	GALMOL	GALVER	GERDIS	GERROT	HIMHIR	LEUVUL	LOLPER	LOTCOR	MALSYL	MEDARA	MEDLUP	MYORAM	ONOREP	ORCHID	PICECH	PICHIE	PLALAN	PLAMAJ	POAANG	POAPOI	POAPRA	POA.SP	POATRI	POTREP	PRIVUL	PRUVUL	RANACR	RANREP	RUBFRU	RUMACE	SALPRA	SENJAC	SONCHU	TAROFF	TRAPRA	TRICAM	TRIFLA	TRIPRA	TRIREP	VERBOF	VERPER	VICSAT
1	Jun12	1	6sp	1	cover	4	4	4	4	4	4	NA	NA	NA	1	2.5	NA	NA	NA	NA	1	NA	NA	1	3	1.5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	6sp	2	cover	4	4	4	4	4	4	NA	NA	NA	1	3	NA	NA	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
1	Jun12	1	6sp	3	cover	4	4	4	4	4	4	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	6sp	4	cover	4	4	4	4	4	4	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	6sp	5	cover	4	4	4	4	4	4	NA	NA	NA	1	NA	NA	NA	NA	NA	0.5	NA	NA	1	NA	1.5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	6sp	6	cover	4	4	4	4	4	4	NA	NA	NA	1	3	NA	NA	NA	NA	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	6sp	7	cover	4	4	4	4	4	4	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	6sp	8	cover	4	4	4	4	4	4	NA	NA	NA	4	2	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	6sp	9	cover	4	4	4	4	4	4	NA	NA	NA	2	2	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	Cb	1	cover	24	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
1	Jun12	1	Cb	2	cover	24	0	0	0	0	0	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	Cb	3	cover	24	0	0	0	0	0	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	Cb	4	cover	24	0	0	0	0	0	NA	NA	NA	2	NA	NA	NA	NA	NA	0.5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
1	Jun12	1	Cb	5	cover	24	0	0	0	0	0	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
