"block"	"treatment"	"datapoint"	"Cb"	"Cd"	"Ci"	"Ee"	"Pg"	"Pp"	"ACHMIL"	"AGREUP"	"ARRELA"	"BROERE"	"BROMOL"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESARU"	"FESRUB"	"GALMOL"	"GALVER"	"GERDIS"	"LEUVUL"	"LOLPER"	"LOTCOR"	"MALSYL"	"MEDARA"	"ONOREP"	"PICECH"	"PLALAN"	"PLAMAJ"	"POAANG"	"POAPOI"	"POAPRA"	"POTREP"	"RANACR"	"RUBFRU"	"RUMACE"	"SALPRA"	"SENJAC"	"SONCHU"	"TAROFF"	"TRIPRA"	"TRIREP"	"VERBOF"	"Total"
1	"6sp"	1	4	4	4	4	4	4	NA	NA	4	1	NA	NA	5	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	1	NA	NA	11
1	"6sp"	2	4	4	4	4	4	4	NA	NA	5	1	NA	NA	5	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	15
1	"6sp"	3	4	4	4	4	4	4	NA	NA	6	1	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	14
1	"6sp"	4	4	4	4	4	4	4	NA	NA	5	1	NA	NA	1	NA	1	2	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	1	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	14
1	"6sp"	5	4	4	4	4	4	4	NA	NA	5	1	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1	NA	NA	11
1	"6sp"	6	4	4	4	4	4	4	NA	NA	5	1	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
1	"6sp"	7	4	4	4	4	4	4	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	5	NA	2	NA	0	NA	NA	NA	NA	3	NA	NA	0	3	NA	NA	27
1	"6sp"	8	4	4	4	4	4	4	NA	NA	5	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	15
1	"6sp"	9	4	4	4	4	4	4	NA	NA	NA	1	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	11
1	"Cb"	1	24	0	0	0	0	0	NA	NA	5	2	NA	2	0	NA	2	0	4	NA	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	20
