"ACHMIL"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESRUB"	"GALVER"	"LEUVUL"	"ONOREP"	"PICECH"	"PLALAN"	"POAANG"	"RANACR"	"RUMACE"	"SALPRA"	"TAROFF"	"TRIPRA"
"ACHMIL"	-0.301704820859258	-0.0206833695968854	-0.000280884494235589	-0.0141070637803552	-0.18952595722363	0.553964485281034	0.252955723251711	0.015084131366718	-0.0213890017282901	0.00825511262705101	-0.00884960335691976	-0.0377914488069456	0.157952064042203	-0.00516139053665762	-0.105695520800842	0.169574573622354	0.377860319407827	0.0778726572416902	1e-15	0.386890368422579	0.188058584102654	0.102745275377872
"ARRELA"	-0.0152282355411908	0.125057617640029	-0.03352874485627	-0.0253518279842607	0.119241278068822	-0.060099010084162	-0.00417701032054123	-0.0179119595298706	-0.0353834565173489	-0.0419981906936027	-0.013763191426193	-0.0446411450283907	-0.085946061736924	0.0350162245300505	-0.0653594287038754	-0.0340721501993441	0.00720258648168683	0.108787055831463	-0.0272425049873378	0.00727790972944301	0.00699945724411437	0.116391876994457
"BROERE"	-0.0912603557776993	-0.000657172475012732	0.177703249799206	-0.110821522988194	-0.0866223721630614	0.050513166754167	-0.0664105171674111	-0.00700946130741541	-0.0406590275686114	0.00183726032336573	0.0027294933024143	-0.0631019396312571	0.0156062381038345	-0.00496628209547534	0.01339794238358	-0.0761742211704621	-0.133337593813867	0.0703684197599613	-0.259450620333247	0.00578308689023978	0.126757661013613	0.0802950179912026
"CENJAC"	0.0670106788975552	0.00761341245781872	-0.148715677288142	0.0518100900806445	0.0502472305726572	-0.0973602552434011	-0.00251364359606989	1e-15	0.00987132738240809	0.0291279633169924	0.0001370997711314	-0.0738735097265469	-0.0546777606632268	0.370357126964521	0.234902357987826	-0.0999734005629303	-0.00829048312585146	-0.0007071601946667	0.0537438831012552	0.313747694876331	1e-15	-0.0683500034776708
"CONARV"	0.0545165347237581	-0.00113271229843104	-0.0301696843665987	0.00412653926876707	-0.0283695415096343	0.0146547956388874	-0.0021436997924989	-0.0118586304135543	-0.0278070115401457	0.0393855954521263	0.0553438354820867	-0.0511268212503203	-0.0840913243552315	0.0277611757062819	0.0215531699154911	-0.00368849683582784	-0.0235635141880255	0.055507009799079	-0.169497155899779	0.0937676660048593	0.0114020698150615	0.0224618798926894
"CREPIS"	1e-15	0.0279321985071498	-0.0072926194612338	-0.183931435056207	1e-15	-0.112182406127201	0.0622024997080844	-0.0235054466410378	0.00389259058656877	0.0741947299394819	-0.0838346426286874	-0.00175600652552534	0.0594190779101058	0.0135468283674972	0.0193982472582416	-0.0120332474147776	-0.154709007660464	0.101751671100594	-0.0240480488052029	-0.0183656558933067	0.102885057260943	0.120011656919119
"DACGLO"	-0.138270037241781	0.0400909402328074	-0.0346608471570096	-0.0133186437884695	0.0115066897231114	-0.138300734010837	-0.0156963191463326	-0.0206023324355578	-0.0507279768388555	-0.0221146585534272	-0.0363279490646762	-0.0318290363792766	0.0595080905775348	0.0792253302714815	-0.0153810309853584	-0.00605897056259445	0.039802062483074	0.0510376775640583	-0.0954154426424822	0.0046344401345431	-0.223839108337516	0.0514371051874834
"DAUCAR"	-0.0442024693427769	0.00451526740503056	-0.0446130647697018	-0.0763376387308196	0.073786609274782	-0.0212710822142914	-0.0453901545053771	-0.0182681216967791	-0.107108827315403	0.105420844571663	-0.306721837129603	0.035752808388819	0.0827645741140816	-0.102553321983179	0.0291568862847876	-0.0120567293382818	0.267858027898742	0.390707434903389	0.368040207335243	0.0954310981659675	-0.189846634196333	-0.0693568399975216
"ELYREP"	-0.244452462924554	-0.027021438500495	-0.0392242997658482	0.277573538536997	-0.109986486425389	0.130291377728384	0.0386161824817212	0.00415627101351566	-0.339160451414206	-0.0160809188733665	-0.104610134189493	-0.0285773083632031	0.116751261531106	0.0319546871712276	0.0218212985356415	-0.0101338473613757	-0.112616307962895	0.191152888849961	0.137891763181554	0.0761449192947505	0.134047542287445	0.00359378437380214
"ERYNGE"	-0.0282014683902211	0.0500570555140693	-0.0407910344630382	-0.0993259609484832	-0.186065684423728	-0.0300775400992781	0.0152740394050935	-0.0620228262314936	-0.601659200512144	-0.241535911969571	-0.195494554391377	-0.0361415136385739	0.033598994520645	-0.132959403619248	0.219485662160021	-0.0243596288703764	0.153701434208992	-0.0143513089077412	-0.466662066834198	0.154674372568177	-0.154690543955537	-0.127110002213408
