"ACHMIL"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESRUB"	"GALVER"	"LEUVUL"	"ONOREP"	"PICECH"	"PLALAN"	"POAANG"	"RANACR"	"RUMACE"	"SALPRA"	"TAROFF"	"TRIPRA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"ACHMIL"	1e-15	1e-15	1e-15	1e-15	0.00776980068861058	1e-15	-0.0382986267252847	-0.00829886545483701	0.0115570431326767	-0.00013392397962456	1e-15	-0.00222658393796806	-0.0664015836782555	0.00212954282772582	-0.101494809474882	-0.0134280127428457	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	NA	NA	NA	NA	NA	0.0325047362276936
"ARRELA"	1e-15	1e-15	-0.00180729110432249	1e-15	0.00387031076380241	0.0114476780690809	1e-15	0.000996108421906129	1e-15	0.00193192040228198	1e-15	-0.00233041075077231	0.00609785080086449	-0.0102802767484711	0.00482325799768562	-0.00354355907441313	1e-15	1e-15	1e-15	1e-15	0.00231633450131786	-0.00172938679609648	0.0397833897066924	1e-15	1e-15	1e-15	-0.00180729110432249	1e-15
"BROERE"	1e-15	1e-15	-0.00265044417049002	1e-15	-0.00190264568643295	0.023513904351307	-0.00403715684231872	-0.00271696259066484	1e-15	0.00112413450991669	0.00380706820599029	-0.00438897726979847	1e-15	1e-15	0.00637603586801448	0.000544865855806099	-0.00323292212245431	1e-15	1e-15	0.00409112800930756	1e-15	1e-15	0.0477386516663634	NA	NA	NA	NA	NA
"CENJAC"	-0.0181050474958879	1e-15	-0.000707688725062614	1e-15	1e-15	1e-15	-0.0211581801224432	1e-15	-0.0178313610615061	-0.00605971501518112	1e-15	1e-15	-0.0335522872692164	-0.108119916962708	1e-15	1e-15	-0.0149214905002601	1e-15	0.0216761300857095	-0.0253170370599338	1e-15	1e-15	NA	NA	NA	0.0813917344432184	-0.0181050474958879	1e-15
"CONARV"	-0.0136201407276937	0.000176503554478596	0.00297101565529311	1e-15	0.00400132043104711	1e-15	1e-15	-6.31374937759443e-05	1e-15	1e-15	-0.00969075393770284	1e-15	1e-15	1e-15	-0.00905276732851062	1e-15	0.0071053856310444	-0.00524068178434685	-0.0159345133500546	0.00759730525146368	1e-15	0.0129695405190394	0.0338614881883366	NA	NA	-0.00386313029385496	-0.0199718947344431	-0.0446559318697465
"CREPIS"	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.0370395967890402	0.00209006455764106	-0.0181808596390876	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15
"DACGLO"	0.00599324021319339	1e-15	-8.93260302128351e-06	1e-15	1e-15	0.0141454202723898	1e-15	-0.00117070582500893	-0.0147552921736519	0.000223402523078085	1e-15	-4.01930426938785e-05	-0.00963248236350927	-0.00599089470850942	0.00427853497588612	-0.000109253066394099	0.000970127055003863	1e-15	1e-15	-0.00708758093362121	-0.00779278002840824	-0.00105962586845987	0.0112157252843179	NA	NA	-0.000899770541635877	0.00599324021319339	1e-15
"DAUCAR"	-0.00481882492999416	0.00281370856958711	-0.0016194687470806	1e-15	-0.00870751014722445	0.0570836290716757	0.00306612439561804	0.0070749101793438	0.000232500535812095	-0.00140601050309659	0.0318322964667304	-0.00224382365029362	-0.00714676143610561	-0.000954692902012214	-0.0391467676040884	-0.00341093070018998	-0.0201965701269934	-0.0159445180565352	-0.0326979644830372	0.016663118224174	0.0327061421808192	0.000371694758056279	NA	NA	NA	NA	NA	-0.0298990111591315
"ELYREP"	1e-15	0.00163827206474879	1e-15	-0.070743951426972	0.0075734333254326	1e-15	-0.0013996309829553	-0.00325868106208628	0.0384950821012698	0.000600751888611782	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.00369012373042598	0.0246113325721057	-0.00766977987716498	-0.0132616197046821	0.00600476932538881	NA	NA	NA	NA	NA	-0.00455391246196358
"ERYNGE"	1e-15	0.0163934746397162	0.0304465049264914	1e-15	-0.0776931697701259	-0.00471736231736006	0.00867917479166129	0.00569044504668056	1e-15	-0.0137366762675731	0.0325148403478049	1e-15	1e-15	0.0212787547169394	-0.0289881189729964	1e-15	-0.030669578263687	-0.050077742607556	0.278741875089109	-0.0580203782364536	1e-15	-0.0276892554052356	1e-15	1e-15	0.0163934746397162	0.0304465049264914	1e-15	-0.0776931697701259
