"Cb"	"Cd"	"Ci"	"Ee"	"Pg"	"Pp"
"ACHMIL"	-0.0133752704283598	0.257739341849322	0.508827445958225	0.0671289145403287	0.604864470792693	-0.0736704260712266
"ARRELA"	-0.112764570448942	-0.153594690182157	0.561707755961599	-0.308951085944194	0.116725061267605	-0.0473161138078
"BROERE"	-0.235492568992769	-0.338459210207164	-0.1948875806085	-0.4744752275891	0.353014959948208	-0.190527138320397
"CENJAC"	-0.284714734589194	0.203451232239193	-1.274260896505	-1.52146547796649	0.619863551295056	-0.179457092686276
"CONARV"	0.0572658100050261	-0.152030958220273	-0.0756772253516692	-0.00958124909672974	-0.2795766930082	0.0387384782830197
"CREPIS"	-0.000346026592948761	0.213989823410437	-1.75093591367519	0.105957616370225	-0.0460952918886279	-0.310668251499126
"DACGLO"	-0.355029988407661	-0.261481540781298	-0.0296667008833746	-0.309588522001374	0.0876397906894567	-0.293584875431645
"DAUCAR"	0.576766574934181	-0.603123999298643	0.0195535904146599	0.204114104744505	0.00905845621851523	0.0125898753710513
"ELYREP"	0.15354945824181	-0.174706911358885	0.232319628789042	-0.501248222800679	-0.0931271992365338	-0.249316335692945
"ERYNGE"	-0.0826167370809702	-0.129249770012773	0.766879087123297	-0.130511311149619	-1.36229897725753	0.366967950788082
"FESRUB"	0.397391488675304	1.02896161655083	0.392769956281397	0.432762190289506	0.0457992183803709	0.768299147103414
"GALVER"	0.0860322794500077	0.430045227641031	-0.187130436491481	-0.0670382481352569	0.0988634188633589	-0.177185932830129
"LEUVUL"	-0.154285483180965	0.0274985916926691	0.369547115091244	-0.0771354532153803	-0.307781580592477	0.0522305476984753
"ONOREP"	-0.0625035534587227	2.23287965258395	0.856051446607594	-0.0472963003293817	-0.395060351296864	0.0973730387750741
"PICECH"	0.0492000700394355	1.46572421514474	-1.35661529567721	0.763371875732565	-0.412384428497711	-0.107121574514721
"PLALAN"	-0.128209157738024	0.159046988640519	-0.533212962766804	0.141022214091679	-0.309959836713738	-0.120216886560964
"POAANG"	-0.0547897841463977	0.0147531992028073	-0.0331955673535357	-0.0421403378190537	0.0625155910909423	0.023124896015161
"RANACR"	0.0973024791850258	-0.00444197980074554	-0.466998067429054	-0.359119486849609	-0.569778412189865	-0.399125519806717
"RUMACE"	-0.0159610907025452	0.0390219083277024	0.0971647943278677	0.0397816169987544	-0.161123047918058	-0.0278063009063058
"SALPRA"	-0.322528480001591	0.305671968292998	0.0169862769922656	-0.265913000202776	-0.227402116791105	0.696424854104924
"TAROFF"	0.26026018157627	-0.716110281130085	-0.584575443001479	0.321348142443422	0.306135620986732	-0.241164139078549
"TRIPRA"	0.435719088662287	-0.980229920718508	0.0366110189798243	-0.0173484397248941	0.218372792612493	0.551649559405537
